,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
3512,ATMpS1981_STAT5,-0.00200226758175039,-1.0314646386627702,1.0314646386627702,0.302572627889654,0.519170362810408,0.41556548243398705,1.0,1.0,1.0,1.0,0,1,311,0.0,9,0,0,0,311
3513,ATR_STAT5,0.00153419119667342,0.9173388688844499,0.9173388688844499,0.359186499147216,0.444679995657454,0.47583625241461003,1.0,1.0,1.0,0.0,0,1,0,0.0,10,0,0,0,0
3514,BAK_STAT5,0.0027020598641886,1.0804154086039799,1.0804154086039799,0.280217993567759,0.552503980912176,0.39121469706576006,1.0,2.0,1.0,0.0,0,0,170,0.0,12,0,84,0,131
3515,BCL-XL_STAT5,0.000282341033616915,0.254024487793092,0.254024487793092,0.7995289130299829,0.0971658264238989,0.8627654552314951,1.0,1.0,0.0,0.0,0,4,0,0.00032,3,0,0,0,0
3516,BCL2_STAT5,0.000475032599943996,0.694248622286562,0.694248622286562,0.487687714753672,0.311858184498428,0.6037680597381769,1.0,1.0,0.0,1.0,0,1,0,5.7999999999999994e-05,21,0,0,0,0
3517,bRAF_STAT5,-0.00189978283214338,-0.81379864311465,0.81379864311465,0.415954235927675,0.380954448645823,0.533792436907505,1.0,0.0,1.0,0.0,1,0,193,0.0,3,0,124,0,117
3518,c-JUNpS73_STAT5,-0.000728423739506297,-0.27487633902620895,0.27487633902620895,0.783468081549363,0.105978691970563,0.8504592061773171,1.0,1.0,1.0,1.0,0,0,0,0.0,124,0,0,0,0
3519,Casp9cAsp31_STAT5,0.000956199094543349,0.6424533162023821,0.6424533162023821,0.520726297733091,0.283390489019195,0.6356610251531399,1.0,1.0,1.0,0.0,0,0,0,7.2e-05,4,0,0,0,0
3520,CHK1pS345_STAT5,-0.000617910258415755,-0.391049095124435,0.391049095124435,0.695844329661111,0.157487907416612,0.7827274682470159,1.0,1.0,1.0,1.0,0,0,0,0.0,44,0,0,0,0
3521,cRAFV_STAT5,0.0027312926998145,1.4331118264629001,1.4331118264629001,0.152138747789655,0.8177601626194579,0.23679778757266498,1.0,0.0,1.0,0.0,1,0,363,0.0,3,0,124,0,302
3522,EGFRV_STAT5,0.00012599869970283102,0.0509227767010703,0.0509227767010703,0.9593972355422181,0.0180015372673385,0.971787687845601,1.0,0.0,1.0,0.0,1,2,0,0.0038,3,0,0,0,0
3523,ELK1pS383_STAT5,0.000645787019453609,0.37355614964211403,0.37355614964211403,0.708813820531098,0.149467823116101,0.7930774615277589,1.0,1.0,1.0,1.0,0,0,0,0.0,67,0,0,0,0
3524,ERa_STAT5,-0.0036040774412779896,-1.12381129315329,1.12381129315329,0.26136306308928897,0.582755788714053,0.369318370843243,1.0,1.0,1.0,1.0,1,2,0,0.00014,181,0,0,0,0
